from,to,value,id
Food,10-20 days,6,1531669591-1
10-20 days,failed,6,1531669591-2
failed,< 10%,6,1531669591-3
NZ,Film & Video,1,1531854511-0
Film & Video,10-20 days,1,1531854511-1
10-20 days,canceled,1,1531854511-2
canceled,< 10%,1,1531854511-3
MX,Technology,1,1531974279-0
Technology,< 10 days,1,1531974279-1
< 10 days,suspended,1,1531974279-2
suspended,10% - 25%,1,1531974279-3
IE,Games,1,1532023733-0
Games,10-20 days,1,1532023733-1
10-20 days,failed,1,1532023733-2
failed,< 10%,1,1532023733-3
MX,Comics,2,1532254696-0
Comics,20-30 days,2,1532254696-1
20-30 days,successful,2,1532254696-2
successful,120% - 200%,2,1532254696-3
CA,Journalism,3,1532670430-0
Journalism,40-50 days,3,1532670430-1
40-50 days,canceled,3,1532670430-2
canceled,< 10%,3,1532670430-3
DK,Film & Video,1,1532720973-0
Film & Video,30-50 days,1,1532720973-1
30-50 days,successful,1,1532720973-2
successful,> 200%,1,1532720973-3
IT,Games,1,1532723065-0
Games,10-20 days,1,1532723065-1
10-20 days,failed,1,1532723065-2
failed,10% - 25%,1,1532723065-3
FR,Design,3,1532944972-0
Design,10-20 days,3,1532944972-1
10-20 days,failed,3,1532944972-2
failed,< 10%,3,1532944972-3
CA,Comics,1,1533210551-0
Comics,20-30 days,1,1533210551-1
20-30 days,canceled,1,1533210551-2
canceled,25% - 50%,1,1533210551-3
AU,Fashion,1,1533226729-0
Fashion,40-50 days,1,1533226729-1
40-50 days,live,1,1533226729-2
live,10% - 25%,1,1533226729-3
ES,Games,5,1533526421-0
Games,30-50 days,5,1533526421-1
30-50 days,canceled,5,1533526421-2
canceled,10% - 25%,5,1533526421-3
MX,Music,5,1533564778-0
Music,20-30 days,5,1533564778-1
20-30 days,failed,5,1533564778-2
failed,10% - 25%,5,1533564778-3
HK,Art,1,1533732270-0
Art,20-30 days,1,1533732270-1
20-30 days,failed,1,1533732270-2
failed,10% - 25%,1,1533732270-3
DE,Publishing,2,1533740835-0
Publishing,> 50 days,2,1533740835-1
> 50 days,failed,2,1533740835-2
failed,50% - 100%,2,1533740835-3
NL,Art,5,1533827704-0
Art,< 10 days,5,1533827704-1
< 10 days,failed,5,1533827704-2
failed,< 10%,5,1533827704-3
DE,Crafts,2,1534546813-0
Crafts,10-20 days,2,1534546813-1
10-20 days,successful,2,1534546813-2
successful,> 200%,2,1534546813-3
NL,Food,4,1534604384-0
Food,20-30 days,4,1534604384-1
20-30 days,failed,4,1534604384-2
failed,10% - 25%,4,1534604384-3
NZ,Art,1,1535043093-0
Art,40-50 days,1,1535043093-1
40-50 days,failed,1,1535043093-2
failed,10% - 25%,1,1535043093-3
FR,Games,2,153504476-0
Games,< 10 days,2,153504476-1
< 10 days,successful,2,153504476-2
successful,> 200%,2,153504476-3
FR,Film & Video,1,1535507748-0
Film & Video,10-20 days,1,1535507748-1
10-20 days,successful,1,1535507748-2
successful,120% - 200%,1,1535507748-3
JP,Games,2,1535634515-0
Games,20-30 days,2,1535634515-1
20-30 days,failed,2,1535634515-2
failed,10% - 25%,2,1535634515-3
CH,Fashion,2,1536143828-0
Fashion,20-30 days,2,1536143828-1
20-30 days,failed,2,1536143828-2
failed,25% - 50%,2,1536143828-3
NL,Technology,5,1536478175-0
Technology,20-30 days,5,1536478175-1
20-30 days,failed,5,1536478175-2
failed,50% - 100%,5,1536478175-3
GB,Technology,7,1536503851-0
Technology,10-20 days,7,1536503851-1
10-20 days,failed,7,1536503851-2
failed,25% - 50%,7,1536503851-3
AU,Food,2,153661734-0
Food,30-50 days,2,153661734-1
30-50 days,canceled,2,153661734-2
canceled,10% - 25%,2,153661734-3
NL,Photography,5,1537246135-0
Photography,20-30 days,5,1537246135-1
20-30 days,canceled,5,1537246135-2
canceled,< 10%,5,1537246135-3
IT,Technology,1,1537569975-0
Technology,30-50 days,1,1537569975-1
30-50 days,live,1,1537569975-2
live,< 10%,1,1537569975-3
FR,Food,5,15376430-0
Food,20-30 days,5,15376430-1
20-30 days,successful,5,15376430-2
successful,100% - 120%,5,15376430-3
HK,Crafts,1,1537788173-0
Crafts,10-20 days,1,1537788173-1
10-20 days,suspended,1,1537788173-2
suspended,> 200%,1,1537788173-3
IE,Photography,1,1537907621-0
Photography,20-30 days,1,1537907621-1
20-30 days,successful,1,1537907621-2
successful,> 200%,1,1537907621-3
AT,Games,5,1537935219-0
Games,30-50 days,5,1537935219-1
30-50 days,failed,5,1537935219-2
failed,< 10%,5,1537935219-3
IE,Design,3,1538084997-0
Design,20-30 days,3,1538084997-1
20-30 days,failed,3,1538084997-2
failed,10% - 25%,3,1538084997-3
NL,Technology,1,153818373-0
Technology,10-20 days,1,153818373-1
10-20 days,successful,1,153818373-2
successful,> 200%,1,153818373-3
CA,Games,3,1538369974-0
Games,< 10 days,3,1538369974-1
< 10 days,canceled,3,1538369974-2
canceled,< 10%,3,1538369974-3
US,Food,1,1538611763-0
Food,30-50 days,1,1538611763-1
30-50 days,suspended,1,1538611763-2
suspended,50% - 100%,1,1538611763-3
CH,Fashion,3,1538652729-0
Fashion,20-30 days,3,1538652729-1
20-30 days,canceled,3,1538652729-2
canceled,< 10%,3,1538652729-3
FR,Photography,1,1538927569-0
Photography,20-30 days,1,1538927569-1
20-30 days,live,1,1538927569-2
live,< 10%,1,1538927569-3
DE,Music,2,1539003267-0
Music,20-30 days,2,1539003267-1
20-30 days,canceled,2,1539003267-2
canceled,10% - 25%,2,1539003267-3
US,Games,11,1539322481-0
Games,20-30 days,11,1539322481-1
20-30 days,live,11,1539322481-2
live,50% - 100%,11,1539322481-3
FR,Technology,1,1539622266-0
Technology,20-30 days,1,1539622266-1
20-30 days,live,1,1539622266-2
live,25% - 50%,1,1539622266-3
FR,Games,2,1539882448-0
Games,10-20 days,2,1539882448-1
10-20 days,canceled,2,1539882448-2
canceled,< 10%,2,1539882448-3
NL,Film & Video,3,1540066180-0
Film & Video,40-50 days,3,1540066180-1
40-50 days,canceled,3,1540066180-2
canceled,< 10%,3,1540066180-3
DE,Games,3,154020152-0
Games,40-50 days,3,154020152-1
40-50 days,successful,3,154020152-2
successful,100% - 120%,3,154020152-3
CA,Dance,4,154043547-0
Dance,30-50 days,4,154043547-1
30-50 days,failed,4,154043547-2
failed,< 10%,4,154043547-3
NL,Music,1,1540677174-0
Music,40-50 days,1,1540677174-1
40-50 days,successful,1,1540677174-2
successful,120% - 200%,1,1540677174-3
ES,Technology,1,1540681102-0
Technology,20-30 days,1,1540681102-1
20-30 days,canceled,1,1540681102-2
canceled,50% - 100%,1,1540681102-3
US,Comics,3,1540694503-0
Comics,< 10 days,3,1540694503-1
< 10 days,canceled,3,1540694503-2
canceled,10% - 25%,3,1540694503-3
NZ,Fashion,1,1540748537-0
Fashion,10-20 days,1,1540748537-1
10-20 days,successful,1,1540748537-2
successful,100% - 120%,1,1540748537-3
IT,Games,2,154075786-0
Games,40-50 days,2,154075786-1
40-50 days,successful,2,154075786-2
successful,100% - 120%,2,154075786-3
SG,Technology,1,1540790690-0
Technology,40-50 days,1,1540790690-1
40-50 days,failed,1,1540790690-2
failed,25% - 50%,1,1540790690-3
US,Comics,2,154087675-0
Comics,< 10 days,2,154087675-1
< 10 days,failed,2,154087675-2
failed,50% - 100%,2,154087675-3
NL,Photography,1,1541431317-0
Photography,< 10 days,1,1541431317-1
< 10 days,failed,1,1541431317-2
failed,< 10%,1,1541431317-3
DK,Photography,1,154163238-0
Photography,10-20 days,1,154163238-1
10-20 days,failed,1,154163238-2
failed,< 10%,1,154163238-3
NZ,Food,1,1541747232-0
Food,20-30 days,1,1541747232-1
20-30 days,suspended,1,1541747232-2
suspended,< 10%,1,1541747232-3
CA,Theater,1,1541747236-0
Theater,10-20 days,1,1541747236-1
10-20 days,suspended,1,1541747236-2
suspended,< 10%,1,1541747236-3
CA,Art,6,1541747978-0
Art,10-20 days,6,1541747978-1
10-20 days,failed,6,1541747978-2
failed,25% - 50%,6,1541747978-3
CH,Technology,2,1541834363-0
Technology,> 50 days,2,1541834363-1
> 50 days,successful,2,1541834363-2
successful,100% - 120%,2,1541834363-3
CA,Dance,3,1541972441-0
Dance,20-30 days,3,1541972441-1
20-30 days,canceled,3,1541972441-2
canceled,< 10%,3,1541972441-3
US,Design,3,1542068362-0
Design,< 10 days,3,1542068362-1
< 10 days,canceled,3,1542068362-2
canceled,50% - 100%,3,1542068362-3
DE,Design,1,1542389952-0
Design,> 50 days,1,1542389952-1
> 50 days,live,1,1542389952-2
live,> 200%,1,1542389952-3
NL,Film & Video,4,154257535-0
Film & Video,30-50 days,4,154257535-1
30-50 days,failed,4,154257535-2
failed,10% - 25%,4,154257535-3
IE,Publishing,8,1542662405-0
Publishing,> 50 days,8,1542662405-1
> 50 days,failed,8,1542662405-2
failed,< 10%,8,1542662405-3
ES,Technology,1,1543097050-0
Technology,40-50 days,1,1543097050-1
40-50 days,suspended,1,1543097050-2
suspended,< 10%,1,1543097050-3
US,Music,1,1543310927-0
Music,> 50 days,1,1543310927-1
> 50 days,canceled,1,1543310927-2
canceled,100% - 120%,1,1543310927-3
MX,Theater,1,1543404362-0
Theater,< 10 days,1,1543404362-1
< 10 days,failed,1,1543404362-2
failed,< 10%,1,1543404362-3
NL,Design,1,1543472083-0
Design,> 50 days,1,1543472083-1
> 50 days,live,1,1543472083-2
live,< 10%,1,1543472083-3
AU,Journalism,2,1543521271-0
Journalism,20-30 days,2,1543521271-1
20-30 days,suspended,2,1543521271-2
suspended,< 10%,2,1543521271-3
DK,Fashion,1,1543705188-0
Fashion,30-50 days,1,1543705188-1
30-50 days,successful,1,1543705188-2
successful,120% - 200%,1,1543705188-3
AU,Art,4,1543718609-0
Art,20-30 days,4,1543718609-1
20-30 days,canceled,4,1543718609-2
canceled,10% - 25%,4,1543718609-3
DE,Publishing,6,1543721277-0
Publishing,30-50 days,6,1543721277-1
30-50 days,successful,6,1543721277-2
successful,100% - 120%,6,1543721277-3
SG,Publishing,1,1543729442-0
Publishing,> 50 days,1,1543729442-1
> 50 days,failed,1,1543729442-2
failed,50% - 100%,1,1543729442-3
BE,Publishing,1,1543817398-0
Publishing,< 10 days,1,1543817398-1
< 10 days,failed,1,1543817398-2
failed,< 10%,1,1543817398-3
CA,Journalism,1,154419456-0
Journalism,30-50 days,1,154419456-1
30-50 days,failed,1,154419456-2
failed,25% - 50%,1,154419456-3
IT,Publishing,2,1544239292-0
Publishing,30-50 days,2,1544239292-1
30-50 days,successful,2,1544239292-2
successful,> 200%,2,1544239292-3
FR,Games,1,1544530683-0
Games,30-50 days,1,1544530683-1
30-50 days,live,1,1544530683-2
live,< 10%,1,1544530683-3
SG,Technology,2,1544909245-0
Technology,30-50 days,2,1544909245-1
30-50 days,live,2,1544909245-2
live,< 10%,2,1544909245-3
CA,Games,3,1545015484-0
Games,> 50 days,3,1545015484-1
> 50 days,suspended,3,1545015484-2
suspended,< 10%,3,1545015484-3
IE,Fashion,1,1545183176-0
Fashion,20-30 days,1,1545183176-1
20-30 days,failed,1,1545183176-2
failed,25% - 50%,1,1545183176-3
IT,Music,2,1545274229-0
Music,30-50 days,2,1545274229-1
30-50 days,canceled,2,1545274229-2
canceled,< 10%,2,1545274229-3
BE,Technology,1,1545373470-0
Technology,30-50 days,1,1545373470-1
30-50 days,failed,1,1545373470-2
failed,10% - 25%,1,1545373470-3
NO,Film & Video,1,1545606692-0
Film & Video,10-20 days,1,1545606692-1
10-20 days,successful,1,1545606692-2
successful,100% - 120%,1,1545606692-3
AU,Theater,1,1545929753-0
Theater,20-30 days,1,1545929753-1
20-30 days,failed,1,1545929753-2
failed,50% - 100%,1,1545929753-3
BE,Technology,2,1546402394-0
Technology,20-30 days,2,1546402394-1
20-30 days,failed,2,1546402394-2
failed,10% - 25%,2,1546402394-3
AU,Technology,1,1546491043-0
Technology,20-30 days,1,1546491043-1
20-30 days,suspended,1,1546491043-2
suspended,25% - 50%,1,1546491043-3
ES,Games,2,1547085815-0
Games,< 10 days,2,1547085815-1
< 10 days,successful,2,1547085815-2
successful,> 200%,2,1547085815-3
SE,Music,4,1547155389-0
Music,40-50 days,4,1547155389-1
40-50 days,successful,4,1547155389-2
successful,100% - 120%,4,1547155389-3
IE,Music,2,1547279689-0
Music,30-50 days,2,1547279689-1
30-50 days,successful,2,1547279689-2
successful,100% - 120%,2,1547279689-3
US,Technology,2,1547349088-0
Technology,> 50 days,2,1547349088-1
> 50 days,suspended,2,1547349088-2
suspended,10% - 25%,2,1547349088-3
DK,Music,1,1547462371-0
Music,20-30 days,1,1547462371-1
20-30 days,canceled,1,1547462371-2
canceled,10% - 25%,1,1547462371-3
US,Games,1,1547684583-0
Games,40-50 days,1,1547684583-1
40-50 days,canceled,1,1547684583-2
canceled,100% - 120%,1,1547684583-3
IT,Photography,1,1547742897-0
Photography,> 50 days,1,1547742897-1
> 50 days,failed,1,1547742897-2
failed,10% - 25%,1,1547742897-3
GB,Fashion,7,1547801463-0
Fashion,40-50 days,7,1547801463-1
40-50 days,failed,7,1547801463-2
failed,25% - 50%,7,1547801463-3
GB,Comics,6,1547949644-0
Comics,40-50 days,6,1547949644-1
40-50 days,failed,6,1547949644-2
failed,25% - 50%,6,1547949644-3
NL,Publishing,2,1548161957-0
Publishing,30-50 days,2,1548161957-1
30-50 days,canceled,2,1548161957-2
canceled,< 10%,2,1548161957-3
SE,Photography,3,1548299003-0
Photography,> 50 days,3,1548299003-1
> 50 days,failed,3,1548299003-2
failed,< 10%,3,1548299003-3
US,Design,10,1548306568-0
Design,20-30 days,10,1548306568-1
20-30 days,suspended,10,1548306568-2
suspended,> 200%,10,1548306568-3
IT,Fashion,2,1548624380-0
Fashion,40-50 days,2,1548624380-1
40-50 days,failed,2,1548624380-2
failed,25% - 50%,2,1548624380-3
NO,Publishing,1,1548843788-0
Publishing,30-50 days,1,1548843788-1
30-50 days,successful,1,1548843788-2
successful,100% - 120%,1,1548843788-3
AU,Comics,2,154911245-0
Comics,> 50 days,2,154911245-1
> 50 days,successful,2,154911245-2
successful,> 200%,2,154911245-3
GB,Photography,1,154929215-0
Photography,30-50 days,1,154929215-1
30-50 days,canceled,1,154929215-2
canceled,50% - 100%,1,154929215-3
DK,Games,6,1549553393-0
Games,20-30 days,6,1549553393-1
20-30 days,successful,6,1549553393-2
successful,120% - 200%,6,1549553393-3
ES,Design,2,1549567435-0
Design,20-30 days,2,1549567435-1
20-30 days,failed,2,1549567435-2
failed,50% - 100%,2,1549567435-3
IT,Art,3,1549571946-0
Art,20-30 days,3,1549571946-1
20-30 days,successful,3,1549571946-2
successful,> 200%,3,1549571946-3
GB,Theater,2,1549837236-0
Theater,< 10 days,2,1549837236-1
< 10 days,failed,2,1549837236-2
failed,10% - 25%,2,1549837236-3
IE,Publishing,1,1549988285-0
Publishing,20-30 days,1,1549988285-1
20-30 days,canceled,1,1549988285-2
canceled,10% - 25%,1,1549988285-3
NL,Food,1,1550037820-0
Food,30-50 days,1,1550037820-1
30-50 days,failed,1,1550037820-2
failed,50% - 100%,1,1550037820-3
NL,Publishing,7,1550380117-0
Publishing,20-30 days,7,1550380117-1
20-30 days,failed,7,1550380117-2
failed,10% - 25%,7,1550380117-3
GB,Film & Video,1,1550667706-0
Film & Video,40-50 days,1,1550667706-1
40-50 days,live,1,1550667706-2
live,25% - 50%,1,1550667706-3
DK,Art,1,1551120438-0
Art,< 10 days,1,1551120438-1
< 10 days,failed,1,1551120438-2
failed,< 10%,1,1551120438-3
FR,Photography,2,1551434417-0
Photography,30-50 days,2,1551434417-1
30-50 days,successful,2,1551434417-2
successful,120% - 200%,2,1551434417-3
NZ,Publishing,1,1552032579-0
Publishing,40-50 days,1,1552032579-1
40-50 days,failed,1,1552032579-2
failed,10% - 25%,1,1552032579-3
AU,Theater,6,1552108265-0
Theater,> 50 days,6,1552108265-1
> 50 days,failed,6,1552108265-2
failed,< 10%,6,1552108265-3
CA,Music,2,1552282588-0
Music,< 10 days,2,1552282588-1
< 10 days,failed,2,1552282588-2
failed,25% - 50%,2,1552282588-3
SG,Music,1,1552388860-0
Music,20-30 days,1,1552388860-1
20-30 days,canceled,1,1552388860-2
canceled,< 10%,1,1552388860-3
US,Film & Video,5,1552446046-0
Film & Video,> 50 days,5,1552446046-1
> 50 days,canceled,5,1552446046-2
canceled,100% - 120%,5,1552446046-3
JP,Fashion,1,1552477981-0
Fashion,> 50 days,1,1552477981-1
> 50 days,live,1,1552477981-2
live,50% - 100%,1,1552477981-3
NL,Comics,1,1552659893-0
Comics,20-30 days,1,1552659893-1
20-30 days,canceled,1,1552659893-2
canceled,< 10%,1,1552659893-3
IT,Film & Video,3,1552704865-0
Film & Video,40-50 days,3,1552704865-1
40-50 days,canceled,3,1552704865-2
canceled,< 10%,3,1552704865-3
US,Theater,4,1552713280-0
Theater,< 10 days,4,1552713280-1
< 10 days,failed,4,1552713280-2
failed,50% - 100%,4,1552713280-3
IE,Games,1,1552882145-0
Games,< 10 days,1,1552882145-1
< 10 days,failed,1,1552882145-2
failed,25% - 50%,1,1552882145-3
MX,Music,2,1553020357-0
Music,10-20 days,2,1553020357-1
10-20 days,canceled,2,1553020357-2
canceled,< 10%,2,1553020357-3
DK,Fashion,4,155302943-0
Fashion,10-20 days,4,155302943-1
10-20 days,failed,4,155302943-2
failed,< 10%,4,155302943-3
BE,Fashion,3,1553030426-0
Fashion,20-30 days,3,1553030426-1
20-30 days,failed,3,1553030426-2
failed,10% - 25%,3,1553030426-3
DE,Games,1,1553082350-0
Games,40-50 days,1,1553082350-1
40-50 days,canceled,1,1553082350-2
canceled,10% - 25%,1,1553082350-3
NL,Art,1,1553241526-0
Art,> 50 days,1,1553241526-1
> 50 days,canceled,1,1553241526-2
canceled,25% - 50%,1,1553241526-3
IE,Photography,2,1553265765-0
Photography,20-30 days,2,1553265765-1
20-30 days,successful,2,1553265765-2
successful,120% - 200%,2,1553265765-3
BE,Publishing,2,1553269265-0
Publishing,20-30 days,2,1553269265-1
20-30 days,successful,2,1553269265-2
successful,120% - 200%,2,1553269265-3
BE,Design,1,1553327835-0
Design,30-50 days,1,1553327835-1
30-50 days,canceled,1,1553327835-2
canceled,25% - 50%,1,1553327835-3
IE,Design,2,1553391059-0
Design,30-50 days,2,1553391059-1
30-50 days,successful,2,1553391059-2
successful,> 200%,2,1553391059-3
MX,Technology,3,1553666996-0
Technology,10-20 days,3,1553666996-1
10-20 days,successful,3,1553666996-2
successful,100% - 120%,3,1553666996-3
DK,Publishing,4,1554236487-0
Publishing,20-30 days,4,1554236487-1
20-30 days,successful,4,1554236487-2
successful,120% - 200%,4,1554236487-3
NZ,Publishing,5,1554285336-0
Publishing,30-50 days,5,1554285336-1
30-50 days,failed,5,1554285336-2
failed,< 10%,5,1554285336-3
NO,Film & Video,2,1554322549-0
Film & Video,40-50 days,2,1554322549-1
40-50 days,failed,2,1554322549-2
failed,< 10%,2,1554322549-3
US,Technology,1,1554355007-0
Technology,< 10 days,1,1554355007-1
< 10 days,failed,1,1554355007-2
failed,50% - 100%,1,1554355007-3
MX,Publishing,1,1554406313-0
Publishing,< 10 days,1,1554406313-1
< 10 days,failed,1,1554406313-2
failed,< 10%,1,1554406313-3
GB,Design,3,1554502626-0
Design,10-20 days,3,1554502626-1
10-20 days,canceled,3,1554502626-2
canceled,50% - 100%,3,1554502626-3
GB,Crafts,5,1554646797-0
Crafts,< 10 days,5,1554646797-1
< 10 days,successful,5,1554646797-2
successful,> 200%,5,1554646797-3
FR,Fashion,3,1555181356-0
Fashion,10-20 days,3,1555181356-1
10-20 days,successful,3,1555181356-2
successful,120% - 200%,3,1555181356-3
AU,Comics,1,155567816-0
Comics,10-20 days,1,155567816-1
10-20 days,successful,1,155567816-2
successful,120% - 200%,1,155567816-3
US,Theater,2,1556035715-0
Theater,10-20 days,2,1556035715-1
10-20 days,canceled,2,1556035715-2
canceled,100% - 120%,2,1556035715-3
IT,Design,3,155631976-0
Design,40-50 days,3,155631976-1
40-50 days,canceled,3,155631976-2
canceled,50% - 100%,3,155631976-3
US,Games,1,1556356959-0
Games,> 50 days,1,1556356959-1
> 50 days,suspended,1,1556356959-2
suspended,> 200%,1,1556356959-3
DK,Film & Video,9,1556788262-0
Film & Video,10-20 days,9,1556788262-1
10-20 days,successful,9,1556788262-2
successful,100% - 120%,9,1556788262-3
CA,Journalism,4,1556920630-0
Journalism,30-50 days,4,1556920630-1
30-50 days,canceled,4,1556920630-2
canceled,< 10%,4,1556920630-3
GB,Art,2,1556995310-0
Art,30-50 days,2,1556995310-1
30-50 days,canceled,2,1556995310-2
canceled,50% - 100%,2,1556995310-3
SG,Technology,2,155746716-0
Technology,30-50 days,2,155746716-1
30-50 days,successful,2,155746716-2
successful,100% - 120%,2,155746716-3
DE,Crafts,1,1557579635-0
Crafts,> 50 days,1,1557579635-1
> 50 days,suspended,1,1557579635-2
suspended,< 10%,1,1557579635-3
DE,Film & Video,1,155828993-0
Film & Video,10-20 days,1,155828993-1
10-20 days,canceled,1,155828993-2
canceled,< 10%,1,155828993-3
GB,Publishing,1,1558382636-0
Publishing,> 50 days,1,1558382636-1
> 50 days,canceled,1,1558382636-2
canceled,50% - 100%,1,1558382636-3
SE,Games,4,1558526159-0
Games,20-30 days,4,1558526159-1
20-30 days,canceled,4,1558526159-2
canceled,25% - 50%,4,1558526159-3
IE,Crafts,1,1558871685-0
Crafts,20-30 days,1,1558871685-1
20-30 days,successful,1,1558871685-2
successful,120% - 200%,1,1558871685-3
IT,Fashion,2,1558962108-0
Fashion,40-50 days,2,1558962108-1
40-50 days,successful,2,1558962108-2
successful,100% - 120%,2,1558962108-3
GB,Publishing,1,155928915-0
Publishing,40-50 days,1,155928915-1
40-50 days,canceled,1,155928915-2
canceled,10% - 25%,1,155928915-3
DK,Design,4,1559510672-0
Design,30-50 days,4,1559510672-1
30-50 days,failed,4,1559510672-2
failed,10% - 25%,4,1559510672-3
CA,Crafts,2,1559512060-0
Crafts,30-50 days,2,1559512060-1
30-50 days,canceled,2,1559512060-2
canceled,< 10%,2,1559512060-3
SE,Music,1,1559540497-0
Music,30-50 days,1,1559540497-1
30-50 days,canceled,1,1559540497-2
canceled,< 10%,1,1559540497-3
DE,Music,1,1559709110-0
Music,> 50 days,1,1559709110-1
> 50 days,live,1,1559709110-2
live,25% - 50%,1,1559709110-3
BE,Photography,1,1559714636-0
Photography,40-50 days,1,1559714636-1
40-50 days,failed,1,1559714636-2
failed,25% - 50%,1,1559714636-3
